
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
3.19724417e+00, 3.37953687e-01, 1.01503059e-01, 1.19443407e+01
3.21722245e+00, 3.35079312e-01, 1.01503059e-01, 1.18793125e+01
2.46636319e+00, -5.16436398e-01, 1.01503059e-01, 1.43792610e+01
2.47462606e+00, -5.01214385e-01, 1.01503059e-01, 1.43787537e+01
2.45742130e+00, -4.96211261e-01, 1.01503059e-01, 1.43797159e+01
6.25047731e+00, -4.98233050e-01, 1.01503059e-01, 1.42822990e+01
6.26073503e+00, -5.11901379e-01, 1.01503059e-01, 1.42819595e+01
6.26993942e+00, -4.95688796e-01, 1.01503059e-01, 1.42838440e+01
1.16001406e+01, -2.33857170e-01, 1.01503059e-01, 1.43744383e+01
1.15819740e+01, -2.30319291e-01, 1.01503059e-01, 1.43749962e+01
1.15915823e+01, -2.53383607e-01, 1.01503059e-01, 1.43786631e+01
4.68585825e+00, -5.30833364e-01, 1.01503059e-01, 1.42593470e+01
4.67744780e+00, -5.09940982e-01, 1.01503059e-01, 1.42656612e+01
4.67074299e+00, -5.31560600e-01, 1.01503059e-01, 1.42603693e+01
4.22987890e+00, -5.03281951e-01, 1.01503059e-01, 1.42834873e+01
4.21333504e+00, -5.01118183e-01, 1.01503059e-01, 1.42843943e+01
4.22073984e+00, -5.23518562e-01, 1.01503059e-01, 1.42907152e+01
3.61605334e+00, -4.93940920e-01, 1.01503059e-01, 1.43417454e+01
3.60195827e+00, -4.91783798e-01, 1.01503059e-01, 1.43418093e+01
3.60636973e+00, -5.04778504e-01, 1.01503059e-01, 1.43553362e+01
9.09597397e+00, 2.57110834e-01, 1.01503059e-01, 1.43150902e+01
9.07854939e+00, 2.54094273e-01, 1.01503059e-01, 1.43158531e+01
9.08964539e+00, 2.35187709e-01, 1.01503059e-01, 1.43182964e+01
1.16893854e+01, 2.87125241e-02, 1.01503059e-01, 1.42878170e+01
1.17048321e+01, 3.17746550e-02, 1.01503059e-01, 1.42867079e+01
1.16954889e+01, 5.26876226e-02, 1.01503059e-01, 1.42834501e+01
9.82340515e-01, 1.01466501e+00, 1.01503059e-01, 1.50398655e+01
9.96623814e-01, 1.01201200e+00, 1.01503059e-01, 1.50376701e+01
9.95507419e-01, 1.03382063e+00, 1.01503059e-01, 1.50253506e+01
-6.09246254e-01, 9.13739204e-01, 1.01503059e-01, 1.46751022e+01
-6.02716565e-01, 9.31398332e-01, 1.01503059e-01, 1.46780987e+01
-6.23354971e-01, 9.34246302e-01, 1.01503059e-01, 1.46707869e+01
8.82891464e+00, 2.48971567e-01, 1.01503059e-01, 1.43231754e+01
8.81677532e+00, 2.70183504e-01, 1.01503059e-01, 1.43218546e+01
8.81053925e+00, 2.45539322e-01, 1.01503059e-01, 1.43239794e+01
3.95374393e+00, -5.03321946e-01, 1.01503059e-01, 1.43075399e+01
3.94522023e+00, -4.85837460e-01, 1.01503059e-01, 1.43008356e+01
3.94131708e+00, -5.11822581e-01, 1.01503059e-01, 1.43153019e+01
9.60624218e+00, 2.35289052e-01, 1.01503059e-01, 1.43086472e+01
9.62507057e+00, 2.36641899e-01, 1.01503059e-01, 1.43078938e+01
9.61253548e+00, 2.58459955e-01, 1.01503059e-01, 1.43051624e+01
2.54783940e+00, 2.70048440e-01, 1.01503059e-01, 1.09590940e+01
2.56786847e+00, 2.68870175e-01, 1.01503059e-01, 1.10427942e+01
2.55732512e+00, 2.90990859e-01, 1.01503059e-01, 1.09978971e+01
6.55857754e+00, -4.36586082e-01, 1.01503059e-01, 1.43206320e+01
6.56541109e+00, -4.46710169e-01, 1.01503059e-01, 1.43174877e+01
6.58159018e+00, -4.43444610e-01, 1.01503059e-01, 1.43199511e+01
1.17822683e+00, 8.34366322e-01, 1.01503059e-01, 1.49333420e+01
1.18137693e+00, 8.51340294e-01, 1.01503059e-01, 1.49246197e+01
1.16167617e+00, 8.49559426e-01, 1.01503059e-01, 1.49529371e+01
1.57743979e+00, 3.37429196e-01, 1.01503059e-01, 1.41757565e+01
1.57004774e+00, 3.56871903e-01, 1.01503059e-01, 1.46261225e+01
1.55842459e+00, 3.39861721e-01, 1.01503059e-01, 1.41716061e+01
1.70872641e+00, 2.00273469e-01, 1.01503059e-01, 9.55681896e+00
1.69196808e+00, 2.26868629e-01, 1.01503059e-01, 9.79742813e+00
1.68848240e+00, 1.98040143e-01, 1.01503059e-01, 9.37342739e+00
5.82062101e+00, 3.35320085e-01, 1.01503059e-01, 1.43221731e+01
5.80717468e+00, 3.40825766e-01, 1.01503059e-01, 1.43207407e+01
5.81251907e+00, 3.17354560e-01, 1.01503059e-01, 1.43221693e+01
1.20085173e+01, -1.03388838e-01, 1.01503059e-01, 1.43025246e+01
1.19875536e+01, -1.11637741e-01, 1.01503059e-01, 1.43060894e+01
1.20085716e+01, -1.19089149e-01, 1.01503059e-01, 1.43069563e+01
1.15436995e+00, 8.27532887e-01, 1.01503059e-01, 1.49721146e+01
1.13844836e+00, 8.41706038e-01, 1.01503059e-01, 1.49909363e+01
1.13497591e+00, 8.23960066e-01, 1.01503059e-01, 1.49984560e+01
1.10593641e+00, 8.56813014e-01, 1.01503059e-01, 1.50269022e+01
1.12270892e+00, 8.44841421e-01, 1.01503059e-01, 1.50107479e+01
1.12596309e+00, 8.63242567e-01, 1.01503059e-01, 1.50025215e+01
1.20468903e+00, -8.16196680e-01, 1.01503059e-01, 1.47510414e+01
1.22134042e+00, -8.00522447e-01, 1.01503059e-01, 1.47554426e+01
1.20030975e+00, -8.00471842e-01, 1.01503059e-01, 1.47612066e+01
1.18317776e+01, -7.51727223e-02, 1.01503059e-01, 1.43044558e+01
1.18233004e+01, -5.52133322e-02, 1.01503059e-01, 1.43006554e+01
1.18165522e+01, -7.49440566e-02, 1.01503059e-01, 1.43054390e+01
6.99267149e+00, 3.03433686e-01, 1.01503059e-01, 1.43738689e+01
7.00327682e+00, 3.19985509e-01, 1.01503059e-01, 1.43728209e+01
6.98817492e+00, 3.27285111e-01, 1.01503059e-01, 1.43728666e+01
1.37852097e+00, 5.90319633e-01, 1.01503059e-01, 1.46137981e+01
1.39405119e+00, 5.89721799e-01, 1.01503059e-01, 1.45938597e+01
1.38797355e+00, 6.14663720e-01, 1.01503059e-01, 1.46022701e+01
1.40035224e+00, 5.69535434e-01, 1.01503059e-01, 1.45852537e+01
1.38597929e+00, 5.69256127e-01, 1.01503059e-01, 1.46029024e+01
-1.12117209e-01, -1.20110881e+00, 1.01503059e-01, 1.42544756e+01
-1.24556780e-01, -1.21470213e+00, 1.01503059e-01, 1.42567787e+01
-1.06717683e-01, -1.21954346e+00, 1.01503059e-01, 1.42607718e+01
6.62087059e+00, 3.12504500e-01, 1.01503059e-01, 1.43718281e+01
6.62852669e+00, 2.96880692e-01, 1.01503059e-01, 1.43726940e+01
6.63001204e+00, 3.19625258e-01, 1.01503059e-01, 1.43715029e+01
3.95665812e+00, 2.36060113e-01, 1.01503059e-01, 1.42449999e+01
3.96251655e+00, 2.53775030e-01, 1.01503059e-01, 1.42466755e+01
3.95223594e+00, 2.63390511e-01, 1.01503059e-01, 1.42427931e+01
4.59195232e+00, -4.18836504e-01, 1.01503059e-01, 1.43291731e+01
4.57351398e+00, -4.17096823e-01, 1.01503059e-01, 1.43312130e+01
4.58240986e+00, -4.39672202e-01, 1.01503059e-01, 1.43233690e+01
-6.86743259e-01, -5.34280598e-01, 1.01503059e-01, 1.39801912e+01
-6.95979238e-01, -5.54043531e-01, 1.01503059e-01, 1.39921637e+01
-6.75701618e-01, -5.49272001e-01, 1.01503059e-01, 1.39780426e+01
1.60001886e+00, -3.83890510e-01, 1.01503059e-01, 1.44253635e+01
1.57945931e+00, -3.74632865e-01, 1.01503059e-01, 1.44374523e+01
1.58050191e+00, -3.92714202e-01, 1.01503059e-01, 1.44508743e+01
1.25893295e+00, -7.77352870e-01, 1.01503059e-01, 1.47525988e+01
1.28156066e+00, -7.84255981e-01, 1.01503059e-01, 1.47424173e+01
1.27670419e+00, -7.67654121e-01, 1.01503059e-01, 1.47505856e+01
1.34335053e+00, -6.63606524e-01, 1.01503059e-01, 1.47488365e+01
1.35274911e+00, -6.47525311e-01, 1.01503059e-01, 1.47475033e+01
1.33784127e+00, -6.47773266e-01, 1.01503059e-01, 1.47580614e+01
9.84576821e-01, -1.02707255e+00, 1.01503059e-01, 1.46603260e+01
9.70172226e-01, -1.02904081e+00, 1.01503059e-01, 1.46594839e+01
9.79144096e-01, -1.04896092e+00, 1.01503059e-01, 1.46515265e+01
9.19440448e-01, 9.32160795e-01, 1.01503059e-01, 1.51261997e+01
9.36079979e-01, 9.12537217e-01, 1.01503059e-01, 1.51335230e+01
9.38027382e-01, 9.30794060e-01, 1.01503059e-01, 1.51197414e+01
3.74143451e-01, 1.16811788e+00, 1.01503059e-01, 1.49776678e+01
3.75585467e-01, 1.19301307e+00, 1.01503059e-01, 1.49586210e+01
3.58972639e-01, 1.17505658e+00, 1.01503059e-01, 1.49762650e+01
-6.18363023e-01, -6.84623897e-01, 1.01503059e-01, 1.40019169e+01
-5.98471761e-01, -6.80189848e-01, 1.01503059e-01, 1.39910498e+01
-6.11066222e-01, -6.64230764e-01, 1.01503059e-01, 1.39893303e+01
1.16459370e+01, -9.20332521e-02, 1.01503059e-01, 1.43222961e+01
1.16230164e+01, -1.00791946e-01, 1.01503059e-01, 1.43262577e+01
1.16426535e+01, -1.10376254e-01, 1.01503059e-01, 1.43277378e+01
8.29814255e-01, 9.29766595e-01, 1.01503059e-01, 1.51495161e+01
8.28932226e-01, 9.45951462e-01, 1.01503059e-01, 1.51334429e+01
8.15132201e-01, 9.38225567e-01, 1.01503059e-01, 1.51442881e+01
-3.59756768e-01, -9.27860200e-01, 1.01503059e-01, 1.40917339e+01
-3.62102091e-01, -9.04206753e-01, 1.01503059e-01, 1.40799360e+01
-3.81432742e-01, -9.11308467e-01, 1.01503059e-01, 1.40833006e+01
7.94385254e-01, -1.01003647e+00, 1.01503059e-01, 1.46456709e+01
7.97030985e-01, -9.88252223e-01, 1.01503059e-01, 1.46536560e+01
7.80356109e-01, -9.93621290e-01, 1.01503059e-01, 1.46476727e+01
8.26294899e-01, -9.79587317e-01, 1.01503059e-01, 1.46661549e+01
